,Male,Female,N/A,Both Genders
Poison (%),5,21,,
Strangle(%),,21,,
Shoot (%),,7,,
Kill for Sex (%),46,,,
Kill for Control (%),29,13,,
Kill for Money (%),19,47,,
Work as a team (%),,50,,20
